index,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,wnsynsetid,wnsynsetkey,grains_class
26,122,door,door,2,door,n03221720,door.n.01,door
27,123,hanger,hanger,2,cabinet,n03490884,hanger.n.02,hanger
28,124,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,wall_lamp
29,125,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
30,126,window,window,2,window,n04587648,window.n.01,window
31,127,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,wall_lamp
32,128,stand,stand,2,night_stand,n04301000,stand.n.04,stand
35,131,refrigerator,kitchen_appliance,2,refridgerator,n04070727,refrigerator.n.01,kitchen_appliance
36,132,sink,sink,2,sink,n04223580,sink.n.01,sink
37,133,door,door,2,door,n03221720,door.n.01,door
38,134,table_and_chair,table_and_chair,2,table,-,-,table_and_chair
39,135,shower,shower,2,shower_curtain,n04208936,shower.n.01,shower
40,136,fish_tank,toy,2,otherprop,n02732072,aquarium.n.01,toy
41,137,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
42,138,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
43,139,shower,shower,2,shower_curtain,n04208936,shower.n.01,shower
45,141,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,dressing_table
46,142,chair,chair,2,chair,n03001627,chair.n.01,chair
47,143,piano,music,2,otherprop,n03928116,piano.n.01,music
48,144,mirror,mirror,2,mirror,n03773035,mirror.n.01,mirror
49,145,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,shoes_cabinet
50,146,stand,stand,2,night_stand,n04301000,stand.n.04,stand
51,147,stand,stand,2,night_stand,n04301000,stand.n.04,stand
52,148,book,books,2,otherprop,n02870526,book.n.11,books
53,149,cup,kitchenware,2,otherprop,n03797390,mug.n.04,kitchenware
54,150,toilet,toilet,2,toilet,n04446276,toilet.n.01,toilet
55,151,stairs,stairs,1,floor,n04314914,step.n.04,stairs
56,152,stairs,stairs,1,floor,n04314914,step.n.04,stairs
57,153,rug,rug,2,floor_mat,n04118021,rug.n.01,rug
58,154,pan,kitchenware,2,otherprop,n03880531,pan.n.01,kitchenware
59,155,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
60,156,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
61,157,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
62,166,armchair,chair,2,chair,n02738535,armchair.n.01,chair
63,167,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
64,168,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
65,169,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
66,170,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
67,171,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
68,172,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
69,173,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
70,174,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
71,175,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,wall_lamp
72,176,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,wall_lamp
73,178,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,wall_lamp
74,179,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,wall_lamp
75,180,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02,wall_lamp
76,181,sink,sink,2,sink,n04223580,sink.n.01,sink
77,182,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
78,183,sink,sink,2,sink,n04223580,sink.n.01,sink
79,184,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
80,185,game_table,recreation,2,otherprop,n04379243,table.n.02,recreation
81,186,sink,sink,2,sink,n04223580,sink.n.01,sink
82,187,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
83,188,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
84,189,computer,computer,2,television,n03082979,computer.n.01,computer
85,190,baby_bed,bed,2,bed,n02766320,baby_bed.n.01,plant
86,191,bookshelf,shelving,2,bookshelf,n02871439,bookshelf.n.01,shelving
87,192,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
88,193,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
89,194,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
90,195,stand,stand,2,night_stand,n04301000,stand.n.04,stand
91,196,armchair,chair,2,chair,n02738535,armchair.n.01,chair
92,197,stand,stand,2,night_stand,n04301000,stand.n.04,stand
93,198,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,tv_stand
94,199,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,dressing_table
95,200,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,dressing_table
96,201,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,dressing_table
97,202,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,dressing_table
98,203,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01,dressing_table
99,204,double_bed,bed,2,bed,n03225988,double_bed.n.01,bed
100,205,double_bed,bed,2,bed,n03225988,double_bed.n.01,bed
101,206,water_dispenser,kitchen_appliance,2,otherprop,n03210683,dispenser.n.01,kitchen_appliance
102,207,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
103,208,hanger,hanger,2,cabinet,n03490884,hanger.n.02,hanger
104,209,window,window,2,window,n04587648,window.n.01,window
105,210,window,window,2,window,n04587648,window.n.01,window
106,211,window,window,2,window,n04587648,window.n.01,window
107,212,window,window,2,window,n04587648,window.n.01,window
108,213,window,window,2,window,n04587648,window.n.01,window
109,214,door,door,2,door,n03221720,door.n.01,door
110,215,television,television,2,television,n04405907,television_receiver.n.01,television
111,216,television,television,2,television,n04405907,television_receiver.n.01,television
112,217,hanger,hanger,2,cabinet,n03490884,hanger.n.02,hanger
113,218,stereo_set,music,2,otherprop,n04315948,stereo.n.01,music
114,219,dishwasher,kitchen_appliance,2,otherprop,n03207941,dishwasher.n.01,kitchen_appliance
115,220,food_processor,kitchen_appliance,2,otherprop,n03378174,food_processor.n.01,kitchen_appliance
116,221,coffee_machine,kitchen_appliance,2,otherprop,n03063338,coffee_maker.n.01,kitchen_appliance
117,222,microwave,kitchen_appliance,2,otherprop,n03761084,microwave.n.02,kitchen_appliance
118,223,vacuum_cleaner,household_appliance,2,otherprop,n04517823,vacuum.n.04,household_appliance
119,224,iron,household_appliance,2,otherprop,n03584829,iron.n.04,household_appliance
120,225,air_conditioner,air_conditioner,2,otherprop,n02686379,air_conditioner.n.01,air_conditioner
121,226,pedestal_fan,fan,2,otherprop,n03320046,fan.n.01,fan
122,227,air_conditioner,air_conditioner,2,otherprop,n02686379,air_conditioner.n.01,air_conditioner
123,228,television,television,2,television,n04405907,television_receiver.n.01,television
124,229,towel_rack,bathroom_stuff,2,otherprop,n04459773,towel_rack.n.01,bathroom_stuff
125,230,heater,heater,2,otherprop,n03508101,heater.n.01,heater
126,232,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
127,233,stand,stand,2,night_stand,n04301000,stand.n.04,stand
128,235,rug,rug,2,floor_mat,n04118021,rug.n.01,rug
129,236,picture_frame,picture_frame,2,picture,n03931765,picture_frame.n.01,picture_frame
131,238,rug,rug,2,floor_mat,n04118021,rug.n.01,rug
132,239,mirror,mirror,2,mirror,n03773035,mirror.n.01,mirror
133,240,floor_lamp,indoor_lamp,2,lamp,n03367059,floor_lamp.n.01,floor_lamp
134,241,range_hood,kitchen_appliance,2,otherprop,n04053677,range_hood.n.01,kitchen_appliance
135,242,fireplace,fireplace,2,otherstructure,n03346455,fireplace.n.01,fireplace
136,243,bottle,kitchenware,2,otherprop,n02876657,bottle.n.01,kitchenware
137,244,glass,kitchenware,2,otherprop,n03438257,glass.n.02,kitchenware
138,245,cutting_board,kitchenware,2,otherprop,n03025513,chopping_board.n.01,kitchenware
139,246,door,door,2,door,n03221720,door.n.01,door
140,247,door,door,2,door,n03221720,door.n.01,door
141,248,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
142,249,chair,chair,2,chair,n03001627,chair.n.01,chair
143,250,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,hanging_kitchen_cabinet
144,251,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,hanging_kitchen_cabinet
145,252,dining_table,table,2,table,n04379243,table.n.02,table
146,253,stairs,stairs,1,floor,n04314914,step.n.04,stairs
147,254,stairs,stairs,1,floor,n04314914,step.n.04,stairs
148,255,chair,chair,2,chair,n03001627,chair.n.01,chair
149,256,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,table_lamp
150,257,picture_frame,picture_frame,2,picture,n03931765,picture_frame.n.01,picture_frame
151,258,vase,vase,2,otherprop,n04522168,vase.n.01,vase
152,259,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
153,260,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
154,261,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
155,262,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
156,263,ironing_board,household_appliance,2,otherprop,n03586090,ironing_board.n.01,household_appliance
157,264,range_oven,kitchen_appliance,2,otherprop,n04330340,stove.n.01,kitchen_appliance
158,265,beer,kitchenware,2,otherprop,n07886849,beer.n.01,kitchenware
159,266,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
160,267,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
161,268,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
162,269,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
163,270,bunker_bed,bed,2,bed,n02818832,bed.n.01,bed
164,271,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
165,272,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
166,273,desk,desk,2,desk,n03179701,desk.n.01,desk
167,274,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
168,275,curtain,curtain,2,curtain,n03151077,curtain.n.01,curtain
169,276,curtain,curtain,2,blinds,n03151077,curtain.n.01,curtain
170,277,chair,chair,2,chair,n03001627,chair.n.01,chair
171,278,loudspeaker,music,2,otherprop,n03691459,loudspeaker.n.01,music
172,279,switch,switch,2,night_stand,n04372370,switch.n.01,switch
173,280,switch,switch,2,picture,n04372370,switch.n.01,switch
174,281,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
175,282,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
176,283,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
177,284,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
178,285,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
179,286,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,hanging_kitchen_cabinet
180,287,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,hanging_kitchen_cabinet
181,288,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
182,289,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
183,290,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
184,291,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
185,292,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,shoes_cabinet
186,293,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
187,294,desk,desk,2,desk,n03179701,desk.n.01,desk
188,295,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
189,311,stand,stand,2,night_stand,n04301000,stand.n.04,stand
190,312,stand,stand,2,night_stand,n04301000,stand.n.04,stand
191,313,clock,clock,2,otherprop,n03046257,clock.n.01,clock
192,314,mirror,mirror,2,mirror,n03773035,mirror.n.01,mirror
193,315,stand,stand,2,night_stand,n04301000,stand.n.04,stand
194,316,trash_can,trash_can,2,otherprop,n02946921,can.n.01,trash_can
195,317,trash_can,trash_can,2,otherprop,n02946921,can.n.01,trash_can
196,318,stand,stand,2,night_stand,n04301000,stand.n.04,stand
197,319,books,books,2,books,n02870526,book.n.11,books
198,320,books,books,2,books,n02870526,book.n.11,books
199,321,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
200,322,toy,toy,2,otherprop,n03964744,plaything.n.01,toy
204,326,door,door,2,door,n03221720,door.n.01,door
205,327,door,door,2,door,n03221720,door.n.01,door
206,328,partition,partition,1,otherstructure,n03894379,partition.n.01,partition
207,329,partition,partition,1,otherstructure,n03894379,partition.n.01,partition
208,330,partition,partition,1,otherstructure,n03894379,partition.n.01,partition
209,331,door,door,2,door,n03221720,door.n.01,door
211,334,fireplace,fireplace,2,otherstructure,n03346455,fireplace.n.01,fireplace
212,335,office_chair,chair,2,chair,n04373704,swivel_chair.n.01,chair
213,336,chair,chair,2,chair,n03001627,chair.n.01,chair
214,337,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
215,338,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
216,339,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
217,340,chessboard,toy,2,otherprop,n03014317,chessboard.n.01,toy
218,341,fish_tank,toy,2,otherprop,n02732072,aquarium.n.01,toy
219,342,fishbowl,toy,2,otherprop,n03350204,fishbowl.n.02,toy
220,343,kettle,kitchenware,2,otherprop,n03612814,kettle.n.01,kitchenware
221,344,kettle,kitchenware,2,otherprop,n03612814,kettle.n.01,kitchenware
222,345,playstation,toy,2,otherprop,n03964744,plaything.n.01,toy
224,347,armchair,chair,2,chair,n02738535,armchair.n.01,chair
225,348,armchair,chair,2,chair,n02738535,armchair.n.01,chair
226,349,armchair,chair,2,chair,n02738535,armchair.n.01,chair
227,350,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
228,351,armchair,chair,2,chair,n02738535,armchair.n.01,chair
229,352,armchair,chair,2,chair,n02738535,armchair.n.01,chair
230,353,toy,toy,2,otherprop,n03964744,plaything.n.01,toy
231,354,headstone,headstone,2,otherprop,n03455488,gravestone.n.01,headstone
232,355,coffin,coffin,2,sofa,n03064758,coffin.n.01,coffin
233,356,toy,toy,2,otherprop,n03964744,plaything.n.01,toy
234,357,toy,toy,2,otherprop,n03964744,plaything.n.01,toy
235,358,toy,toy,2,otherprop,n03964744,plaything.n.01,toy
236,359,toy,toy,2,otherprop,n03964744,plaything.n.01,toy
237,360,sofa,sofa,2,otherprop,n04256520,sofa.n.01,sofa
238,361,garage_door,garage_door,2,door,-,-,garage_door
239,362,decoration,decoration,2,otherprop,n03169390,decoration.n.01,decoration
240,363,motorcycle,vehicle,2,otherprop,n03790512,motorcycle.n.01,vehicle
241,364,car,vehicle,2,otherprop,n02958343,car.n.01,vehicle
242,365,column,column,1,wall,n03074380,column.n.06,column
243,366,column,column,1,wall,n03074380,column.n.06,column
244,367,column,column,1,wall,n03074380,column.n.06,column
245,368,fence,fence,2,door,n03327234,fence.n.01,fence
246,369,fence,fence,2,door,n03327234,fence.n.01,fence
247,370,fence,fence,2,door,n03327234,fence.n.01,fence
248,371,fence,fence,2,door,n03327234,fence.n.01,fence
249,372,fence,fence,2,door,n03327234,fence.n.01,fence
250,373,fence,fence,2,door,n03327234,fence.n.01,fence
251,374,fence,fence,2,door,n03327234,fence.n.01,fence
252,375,fence,fence,2,door,n03327234,fence.n.01,fence
253,376,fence,fence,2,door,n03327234,fence.n.01,fence
254,377,outdoor_lamp,outdoor_lamp,2,lamp,n03636649,lamp.n.02,outdoor_lamp
255,378,outdoor_lamp,outdoor_lamp,2,lamp,n03636649,lamp.n.02,outdoor_lamp
256,379,fence,fence,2,door,n03327234,fence.n.01,fence
257,380,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
258,381,outdoor_lamp,outdoor_lamp,2,lamp,n03636649,lamp.n.02,outdoor_lamp
259,382,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
260,383,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
261,384,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
262,385,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
263,386,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
264,387,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
265,388,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
266,389,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
267,390,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
268,391,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
269,392,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,tv_stand
270,393,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
271,394,outdoor_lamp,outdoor_lamp,2,lamp,n03636649,lamp.n.02,outdoor_lamp
272,395,trash_can,kitchenware,2,otherprop,n02946921,can.n.01,kitchenware
273,396,stand,stand,2,night_stand,n04301000,stand.n.04,stand
276,399,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
277,40,dining_table,table,2,table,n04379243,table.n.02,table
278,403,double_bed,bed,2,bed,n03225988,double_bed.n.01,bed
279,404,stand,stand,2,night_stand,n04301000,stand.n.04,stand
280,405,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
281,406,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,hanging_kitchen_cabinet
282,407,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
283,408,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
284,409,chair,chair,2,chair,n03001627,chair.n.01,chair
285,41,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
286,410,basketball_hoop,recreation,2,otherprop,n02802215,basket.n.03,recreation
287,411,outdoor_seating,outdoor_seating,2,chair,n04161981,seat.n.03,outdoor_seating
288,412,outdoor_seating,outdoor_seating,2,chair,n04161981,seat.n.03,outdoor_seating
289,413,grill,grill,2,otherprop,n03459591,grill.n.02,grill
290,414,chair,chair,2,chair,n03001627,chair.n.01,chair
291,415,armchair,chair,2,chair,n02738535,armchair.n.01,chair
292,416,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
293,417,desk,desk,2,desk,n03179701,desk.n.01,desk
294,418,toilet,toilet,2,toilet,n04446276,toilet.n.01,toilet
295,419,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,table_lamp
296,42,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
297,420,sofa,sofa,2,sofa,n04256520,sofa.n.01,sofa
298,421,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,table_lamp
299,422,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,table_lamp
300,423,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,table_lamp
301,424,desk,desk,2,desk,n03179701,desk.n.01,desk
302,425,armchair,chair,2,chair,n02738535,armchair.n.01,chair
303,426,armchair,chair,2,chair,n02738535,armchair.n.01,chair
304,427,armchair,chair,2,chair,n02738535,armchair.n.01,chair
305,428,desk,desk,2,desk,n03179701,desk.n.01,desk
306,429,chair,chair,2,chair,n03001627,chair.n.01,chair
307,43,dryer,household_appliance,2,otherprop,n03251766,dryer.n.01,household_appliance
308,430,desk,desk,2,desk,n03179701,desk.n.01,desk
310,432,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
311,433,outdoor_seating,outdoor_seating,2,chair,n04161981,seat.n.03,outdoor_seating
312,434,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
313,435,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
314,436,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
315,437,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
316,438,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
317,439,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,gym_equipment
318,44,household_appliance,household_appliance,2,otherprop,n03528263,home_appliance.n.01,household_appliance
319,440,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
320,441,chair,chair,2,chair,n03001627,chair.n.01,chair
321,442,dining_table,table,2,table,n04379243,table.n.02,table
322,443,toilet,toilet,2,toilet,n04446276,toilet.n.01,toilet
323,444,toilet,toilet,2,toilet,n04446276,toilet.n.01,toilet
324,445,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,shoes_cabinet
325,446,chair,chair,2,chair,n03001627,chair.n.01,chair
326,447,sink,sink,2,sink,n04223580,sink.n.01,sink
327,448,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
328,449,armchair,chair,2,chair,n02738535,armchair.n.01,chair
329,45,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,hanging_kitchen_cabinet
330,450,chair,chair,2,chair,n03001627,chair.n.01,chair
331,451,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,tv_stand
332,452,dining_table,table,2,table,n04379243,table.n.02,table
333,453,toilet,toilet,2,toilet,n04446276,toilet.n.01,toilet
334,454,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,tv_stand
335,455,desk,desk,2,desk,n03179701,desk.n.01,desk
336,456,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
337,457,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
338,458,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
339,459,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
340,46,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,hanging_kitchen_cabinet
341,460,toy,toy,2,otherprop,n03964744,plaything.n.01,toy
342,461,toy,toy,2,otherprop,n03964744,plaything.n.01,toy
343,462,toy,toy,2,otherprop,n03964744,plaything.n.01,toy
346,465,bathtub,bathtub,2,bathtub,n02808440,bathtub.n.01,bathtub
347,466,bench_chair,bench_chair,2,chair,n03001627,chair.n.01,bench_chair
348,467,chair,chair,2,chair,n03001627,chair.n.01,chair
349,468,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
351,470,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
352,471,chair,chair,2,chair,n03001627,chair.n.01,chair
353,472,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
354,473,chair,chair,2,chair,n03001627,chair.n.01,chair
355,474,table,table,2,chair,n04379243,table.n.02,table
356,475,bench_chair,bench_chair,2,chair,n03001627,chair.n.01,bench_chair
357,476,bench_chair,bench_chair,2,chair,n03001627,chair.n.01,bench_chair
358,477,desk,desk,2,desk,n03179701,desk.n.01,desk
359,478,ottoman,ottoman,2,otherprop,n03380724,footstool.n.01,ottoman
360,479,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,shoes_cabinet
362,481,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
363,482,bookshelf,shelving,2,cabinet,n02871439,bookshelf.n.01,shelving
364,483,stand,stand,2,night_stand,n04301000,stand.n.04,stand
365,484,workplace,workplace,2,desk,-,-,workplace
366,485,desk,desk,2,desk,n03179701,desk.n.01,desk
367,486,desk,desk,2,desk,n03179701,desk.n.01,desk
368,487,desk,desk,2,desk,n03179701,desk.n.01,desk
369,488,stand,stand,2,night_stand,n04301000,stand.n.04,stand
370,489,stand,stand,2,night_stand,n04301000,stand.n.04,stand
371,490,stand,stand,2,night_stand,n04301000,stand.n.04,stand
372,491,armchair,chair,2,chair,n02738535,armchair.n.01,chair
373,492,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
374,493,shelving,shelving,2,shelves,n04190052,shelf.n.01,shelving
375,494,desk,desk,2,desk,n03179701,desk.n.01,desk
376,495,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,tv_stand
